Order_Line,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Payment_Mode
62,OF-2019-102645,7/16/2019,7/21/2019,Standard Class,IM-15055,OFF-PA-10001804,40.08,6,0,19.2384,COD
63,OF-2019-146997,7/16/2019,7/20/2019,Standard Class,SG-20605,OFF-FA-10003467,5.94,3,0,0,COD
64,ON-2019-155502,7/19/2019,7/24/2019,Standard Class,SD-20485,FUR-FU-10004587,62.82,3,0,30.7818,COD
65,ON-2019-155502,7/19/2019,7/24/2019,Standard Class,SD-20485,OFF-ST-10004337,489.92,8,0,0,Offline
66,ON-2019-155502,7/19/2019,7/24/2019,Standard Class,SD-20485,OFF-PA-10003072,19.44,3,0,9.3312,COD
67,ON-2019-155502,7/19/2019,7/24/2019,Standard Class,SD-20485,OFF-PA-10000380,16.68,2,0,8.34,Online
68,ON-2019-155502,7/19/2019,7/24/2019,Standard Class,SD-20485,TEC-PH-10004833,155.35,13,0,0,COD
69,ON-2019-155502,7/19/2019,7/24/2019,Standard Class,SD-20485,FUR-FU-10001847,12.42,3,0,4.4712,Offline
70,ON-2019-155502,7/19/2019,7/24/2019,Standard Class,SD-20485,TEC-PH-10002103,187.98,2,0,52.6344,COD
71,OF-2019-167997,7/19/2019,7/22/2019,First Class,CA-11965,OFF-BI-10001758,10.68,2,0,5.0196,COD
72,OF-2019-167997,7/19/2019,7/22/2019,First Class,CA-11965,FUR-BO-10004409,141.96,2,0,39.7488,COD
73,ON-2019-117163,7/20/2019,7/26/2019,Standard Class,EJ-13720,OFF-ST-10003692,57.23,1,0,14.3075,COD
74,ON-2019-117163,7/20/2019,7/26/2019,Standard Class,EJ-13720,FUR-TA-10003469,333,3,0.2,-16.65,COD
75,ON-2019-117163,7/20/2019,7/26/2019,Standard Class,EJ-13720,OFF-AR-10003179,36.44,4,0,12.0252,Offline
76,OF-2019-100328,7/21/2019,7/27/2019,Standard Class,JC-15340,OFF-BI-10000343,3.928,1,0.2,1.3257,COD
77,OF-2019-134103,7/23/2019,7/28/2019,Standard Class,MV-18190,OFF-PA-10001204,10.56,2,0,4.752,Online
78,OF-2019-134103,7/23/2019,7/28/2019,Standard Class,MV-18190,OFF-ST-10000991,229.94,2,0,6.8982,Online
79,OF-2019-115161,7/24/2019,7/26/2019,First Class,LC-17050,FUR-BO-10003966,290.666,2,0.15,3.4196,COD
80,OF-2019-140795,7/25/2019,7/27/2019,First Class,BD-11500,TEC-AC-10001432,468.9,6,0,206.316,COD
81,OF-2019-139857,7/26/2019,7/30/2019,Standard Class,CD-12790,OFF-FA-10001843,12.35,5,0,5.8045,COD
82,OF-2019-123400,7/26/2019,8/2/2019,Standard Class,EB-13930,OFF-BI-10000666,18.336,2,0.7,-12.224,COD
83,OF-2019-123400,7/26/2019,8/2/2019,Standard Class,EB-13930,TEC-PH-10002890,180.96,5,0.2,13.572,COD
84,OF-2019-111059,7/27/2019,7/30/2019,Second Class,TB-21400,OFF-BI-10004593,83.84,2,0.2,27.248,COD
85,OF-2019-111059,7/27/2019,7/30/2019,Second Class,TB-21400,OFF-BI-10002827,13.272,3,0.2,4.3134,COD
86,OF-2019-107181,7/28/2019,8/1/2019,Standard Class,DB-13270,OFF-BI-10004230,82.896,3,0.2,29.0136,Offline
87,OF-2019-107181,7/28/2019,8/1/2019,Standard Class,DB-13270,OFF-PA-10000350,34.24,4,0,16.0928,COD
88,OF-2019-104808,7/28/2019,8/1/2019,Second Class,MH-17440,OFF-BI-10003676,17.248,2,0.2,6.0368,COD
89,OF-2019-131905,7/30/2019,8/2/2019,First Class,ND-18460,OFF-LA-10002787,15,4,0,7.2,COD
90,OF-2019-131905,7/30/2019,8/2/2019,First Class,ND-18460,TEC-PH-10003645,161.61,1,0,42.0186,COD
91,OF-2019-131905,7/30/2019,8/2/2019,First Class,ND-18460,TEC-PH-10001615,144.95,5,0,42.0355,Online
92,OF-2019-108182,7/30/2019,8/3/2019,Second Class,DL-13315,OFF-BI-10001196,8.952,2,0.8,-14.7708,COD
93,OF-2019-107755,7/31/2019,8/5/2019,Standard Class,CK-12760,TEC-AC-10000710,115.36,7,0,49.6048,COD
94,ON-2019-169390,7/31/2019,8/3/2019,Second Class,CS-12250,OFF-ST-10001558,64.96,4,0,9.744,COD
95,OF-2019-125759,8/1/2019,8/2/2019,First Class,NM-18445,FUR-FU-10002111,14.56,2,0,5.5328,Online
96,OF-2019-127614,8/4/2019,8/8/2019,Standard Class,NF-18385,TEC-AC-10001432,234.45,3,0,103.158,Online
97,OF-2019-127614,8/4/2019,8/8/2019,Standard Class,NF-18385,FUR-TA-10003715,1256.22,6,0,75.3732,Offline
98,OF-2019-127614,8/4/2019,8/8/2019,Standard Class,NF-18385,OFF-BI-10003291,17.46,2,0,8.2062,COD
99,OF-2019-168368,8/4/2019,8/8/2019,Second Class,GA-14725,FUR-CH-10001146,60.89,1,0,15.2225,COD
100,OF-2019-168368,8/4/2019,8/8/2019,Second Class,GA-14725,OFF-LA-10004853,14.94,3,0,6.8724,COD
101,OF-2019-168368,8/4/2019,8/8/2019,Second Class,GA-14725,OFF-BI-10004728,9.64,2,0,4.4344,COD
102,OF-2019-168368,8/4/2019,8/8/2019,Second Class,GA-14725,FUR-FU-10002298,332.94,3,0,53.2704,COD
103,OF-2019-168368,8/4/2019,8/8/2019,Second Class,GA-14725,OFF-BI-10004654,51.9,3,0,24.393,Online
104,OF-2019-168368,8/4/2019,8/8/2019,Second Class,GA-14725,OFF-ST-10002583,64.96,2,0,2.5984,COD
105,ON-2019-110674,8/5/2019,8/11/2019,Standard Class,SC-20095,FUR-CH-10000225,129.568,2,0.2,-24.294,COD
106,OF-2019-107706,8/7/2019,8/12/2019,Second Class,ST-20530,OFF-PA-10000466,16.176,3,0.2,6.066,Offline
107,OF-2019-121762,8/7/2019,8/11/2019,Standard Class,ML-17395,TEC-AC-10000736,239.97,3,0,86.3892,COD
108,OF-2019-121762,8/7/2019,8/11/2019,Standard Class,ML-17395,OFF-AP-10001293,81.96,2,0,22.9488,COD
109,OF-2019-121762,8/7/2019,8/11/2019,Standard Class,ML-17395,OFF-SU-10000157,238.62,2,0,4.7724,Offline
110,OF-2019-165568,8/8/2019,8/12/2019,Standard Class,BF-11020,OFF-BI-10001031,21.36,5,0.2,7.209,COD
111,OF-2019-122567,8/9/2019,8/14/2019,Standard Class,MN-17935,OFF-BI-10002012,1.08,3,0.8,-1.728,COD
112,OF-2019-122567,8/9/2019,8/14/2019,Standard Class,MN-17935,OFF-AP-10001303,7.96,2,0.8,-13.93,COD
113,OF-2019-154165,8/10/2019,8/17/2019,Standard Class,DL-13315,OFF-AR-10003631,54.208,14,0.2,8.8088,COD
114,ON-2019-165589,8/11/2019,8/11/2019,Same Day,TB-21595,FUR-FU-10002396,25.16,5,0.6,-11.322,Offline
115,OF-2019-152905,8/11/2019,8/17/2019,Standard Class,AB-10015,OFF-ST-10000321,12.624,2,0.2,-2.5248,Offline
116,OF-2019-109491,8/13/2019,8/19/2019,Standard Class,LC-16930,TEC-AC-10001284,62.31,3,0,22.4316,COD
117,OF-2019-109491,8/13/2019,8/19/2019,Standard Class,LC-16930,FUR-FU-10000221,20.32,4,0,6.9088,COD
118,OF-2019-164903,8/13/2019,8/17/2019,Standard Class,SR-20740,OFF-PA-10003363,12.96,2,0,6.2208,COD
119,OF-2019-165540,8/14/2019,8/18/2019,Standard Class,TM-21010,OFF-BI-10004094,8.85,5,0.8,-13.7175,COD
120,OF-2019-133354,8/15/2019,8/17/2019,First Class,SA-20830,OFF-PA-10001800,19.44,3,0,9.3312,COD
121,OF-2019-103744,8/16/2019,8/20/2019,Standard Class,MG-17875,OFF-LA-10004425,6.936,3,0.2,2.3409,COD
122,OF-2019-103744,8/16/2019,8/20/2019,Standard Class,MG-17875,OFF-BI-10000320,4.428,3,0.8,-6.8634,COD
123,ON-2019-137680,8/17/2019,8/23/2019,Standard Class,JH-15430,OFF-PA-10000174,32.896,4,0.2,11.1024,Offline
124,ON-2019-137680,8/17/2019,8/23/2019,Standard Class,JH-15430,OFF-PA-10000069,22.776,3,0.2,7.6869,Offline
125,OF-2019-156545,8/20/2019,8/24/2019,First Class,JS-16030,OFF-AR-10003560,19.456,4,0.2,3.4048,COD
126,OF-2019-104269,8/22/2019,8/27/2019,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,Offline
127,ON-2019-143707,8/22/2019,8/26/2019,Standard Class,HR-14770,TEC-PH-10003655,5.94,3,0,1.6038,Offline
128,OF-2019-113880,8/22/2019,8/26/2019,Standard Class,VF-21715,FUR-CH-10000863,634.116,6,0.3,-172.1172,COD
129,OF-2019-113880,8/22/2019,8/26/2019,Standard Class,VF-21715,OFF-PA-10003036,17.472,3,0.2,5.6784,COD
130,OF-2019-131009,8/22/2019,8/26/2019,Standard Class,SC-20380,OFF-FA-10004395,18.84,5,0.2,-3.5325,COD
131,OF-2019-131009,8/22/2019,8/26/2019,Standard Class,SC-20380,FUR-CH-10001270,362.25,6,0.3,0,COD
132,OF-2019-131009,8/22/2019,8/26/2019,Standard Class,SC-20380,FUR-FU-10001095,63.552,6,0.6,-34.9536,Offline
133,OF-2019-131009,8/22/2019,8/26/2019,Standard Class,SC-20380,OFF-ST-10001469,129.552,3,0.2,-22.6716,Offline
134,OF-2019-168312,8/22/2019,8/28/2019,Standard Class,GW-14605,OFF-ST-10003692,137.352,3,0.2,8.5845,Online
135,OF-2019-168312,8/22/2019,8/28/2019,Standard Class,GW-14605,FUR-TA-10001866,376.509,3,0.3,-43.0296,COD
136,OF-2019-107524,8/23/2019,8/29/2019,Standard Class,KN-16705,OFF-EN-10001990,11.36,2,0,5.3392,COD
137,OF-2019-107524,8/23/2019,8/29/2019,Standard Class,KN-16705,OFF-PA-10000587,36.4,5,0,17.472,Online
138,OF-2019-111157,8/23/2019,8/27/2019,Standard Class,NH-18610,OFF-PA-10000327,3.424,1,0.2,1.07,COD
139,OF-2019-111157,8/23/2019,8/27/2019,Standard Class,NH-18610,TEC-AC-10004353,151.2,3,0.2,32.13,Online
140,OF-2019-155852,8/24/2019,8/28/2019,Second Class,AJ-10945,OFF-AR-10003560,19.456,4,0.2,3.4048,COD
141,OF-2019-127964,8/24/2019,8/29/2019,Standard Class,AP-10720,TEC-PH-10004700,9.99,1,0,4.5954,Offline
142,OF-2019-127964,8/24/2019,8/29/2019,Standard Class,AP-10720,OFF-BI-10004593,125.76,3,0.2,40.872,COD
143,OF-2019-127964,8/24/2019,8/29/2019,Standard Class,AP-10720,OFF-BI-10003429,25.32,5,0.2,9.1785,COD
144,ON-2019-127978,8/24/2019,8/29/2019,Standard Class,JS-15595,OFF-LA-10000305,15.12,3,0.2,4.914,COD
145,ON-2019-127978,8/24/2019,8/29/2019,Standard Class,JS-15595,FUR-BO-10001972,302.45,5,0.5,-199.617,COD
146,ON-2019-127978,8/24/2019,8/29/2019,Standard Class,JS-15595,OFF-ST-10002486,44.672,8,0.2,-10.0512,COD
147,OF-2019-130421,8/24/2019,8/28/2019,Standard Class,SC-20020,OFF-AP-10002534,176.772,3,0.8,-459.6072,COD
148,OF-2019-105648,8/24/2019,8/28/2019,Standard Class,EJ-14155,FUR-TA-10002958,626.352,3,0.2,-23.4882,Offline
149,OF-2019-116239,8/25/2019,8/25/2019,Same Day,CL-12565,OFF-ST-10001370,354.9,5,0,17.745,Offline
150,OF-2019-117016,8/25/2019,8/30/2019,Standard Class,SC-20095,OFF-AR-10001374,15.552,3,0.2,2.3328,COD
151,OF-2019-169061,8/26/2019,8/29/2019,Second Class,AB-10150,OFF-AR-10000588,59.52,3,0,15.4752,Offline
152,OF-2019-169061,8/26/2019,8/29/2019,Second Class,AB-10150,TEC-AC-10002001,479.97,3,0,177.5889,COD
153,OF-2019-169061,8/26/2019,8/29/2019,Second Class,AB-10150,OFF-SU-10000381,18.62,2,0,5.3998,COD
154,OF-2019-169061,8/26/2019,8/29/2019,Second Class,AB-10150,OFF-BI-10001617,49.632,6,0.2,16.7508,COD
155,OF-2019-169061,8/26/2019,8/29/2019,Second Class,AB-10150,OFF-PA-10001878,97.82,2,0,45.9754,COD
156,OF-2019-156587,8/28/2019,8/29/2019,First Class,AB-10015,FUR-CH-10004477,48.712,1,0.2,5.4801,Offline
157,OF-2019-156587,8/28/2019,8/29/2019,First Class,AB-10015,OFF-AR-10001427,17.94,3,0,4.6644,COD
158,OF-2019-156587,8/28/2019,8/29/2019,First Class,AB-10015,OFF-ST-10002344,242.94,3,0,4.8588,COD
159,ON-2019-131982,8/28/2019,9/1/2019,Second Class,NP-18685,OFF-BI-10004224,107.648,2,0.2,33.64,Offline
160,OF-2019-104563,8/28/2019,9/2/2019,Standard Class,CM-12715,OFF-AR-10000390,20.65,5,0,9.499,COD
161,OF-2019-104563,8/28/2019,9/2/2019,Standard Class,CM-12715,OFF-ST-10000934,204.9,5,0,0,COD
162,OF-2019-104563,8/28/2019,9/2/2019,Standard Class,CM-12715,FUR-CH-10002780,436.704,6,0.2,21.8352,Offline
163,OF-2019-104563,8/28/2019,9/2/2019,Standard Class,CM-12715,FUR-CH-10004495,481.568,2,0.2,54.1764,Offline
164,ON-2019-100279,8/31/2019,9/4/2019,Standard Class,SW-20275,OFF-PA-10002259,22.38,2,0,10.7424,COD
165,ON-2019-140116,8/31/2019,9/7/2019,Standard Class,KT-16480,OFF-ST-10000078,636.408,3,0.2,-15.9102,COD
166,ON-2019-140116,8/31/2019,9/7/2019,Standard Class,KT-16480,OFF-AR-10001044,83.168,4,0.2,9.3564,Offline
167,OF-2019-166884,9/1/2019,9/6/2019,Second Class,CK-12205,FUR-FU-10003981,8.32,5,0.2,2.288,COD
168,OF-2019-166884,9/1/2019,9/6/2019,Second Class,CK-12205,OFF-FA-10001561,10.464,6,0.2,1.7004,Online
169,OF-2019-158337,9/1/2019,9/4/2019,Second Class,KA-16525,OFF-PA-10002137,108.92,14,0,49.014,COD
170,OF-2019-114790,9/1/2019,9/3/2019,Second Class,FM-14215,OFF-AP-10002578,146.76,3,0,38.1576,COD
171,OF-2019-114790,9/1/2019,9/3/2019,Second Class,FM-14215,TEC-AC-10000710,32.96,2,0,14.1728,Offline
172,OF-2019-114790,9/1/2019,9/3/2019,Second Class,FM-14215,TEC-PH-10000984,587.97,3,0,164.6316,Offline
173,OF-2019-114790,9/1/2019,9/3/2019,Second Class,FM-14215,OFF-PA-10000213,14.94,3,0,7.0218,COD
174,ON-2019-103338,9/1/2019,9/5/2019,Standard Class,RB-19435,OFF-AR-10001770,7.98,3,0,2.0748,COD
175,OF-2019-157623,9/4/2019,9/8/2019,Standard Class,DK-13225,OFF-PA-10001204,10.56,2,0,4.752,Offline
176,OF-2019-157623,9/4/2019,9/8/2019,Standard Class,DK-13225,OFF-AR-10003723,3.38,1,0,1.2506,COD
177,ON-2019-125521,9/4/2019,9/9/2019,Standard Class,CK-12325,FUR-CH-10003379,1139.92,4,0,284.98,Online
178,OF-2019-114510,9/4/2019,9/9/2019,Standard Class,JF-15295,OFF-BI-10001617,33.088,4,0.2,11.1672,COD
179,OF-2019-114510,9/4/2019,9/9/2019,Standard Class,JF-15295,OFF-ST-10000736,80.98,1,0,3.2392,Offline
180,OF-2019-114510,9/4/2019,9/9/2019,Standard Class,JF-15295,TEC-AC-10004877,82.8,12,0,6.624,Offline
181,OF-2019-114510,9/4/2019,9/9/2019,Standard Class,JF-15295,OFF-ST-10003221,21.36,2,0,5.7672,COD
182,OF-2019-114510,9/4/2019,9/9/2019,Standard Class,JF-15295,OFF-BI-10003007,62.048,2,0.2,20.1656,COD
183,OF-2019-152618,9/4/2019,9/7/2019,First Class,RB-19465,TEC-MA-10003626,574.91,2,0.3,156.047,Offline
184,OF-2019-152618,9/4/2019,9/7/2019,First Class,RB-19465,OFF-PA-10001215,8.448,2,0.2,2.64,COD
185,OF-2019-100293,9/4/2019,9/8/2019,Standard Class,NF-18475,OFF-PA-10000176,91.056,6,0.2,31.8696,COD
186,OF-2019-149958,9/5/2019,9/9/2019,Standard Class,AS-10240,OFF-ST-10001490,142.776,1,0.2,17.847,COD
187,OF-2019-149958,9/5/2019,9/9/2019,Standard Class,AS-10240,FUR-FU-10001756,45.696,3,0.2,5.1408,COD
188,OF-2019-149958,9/5/2019,9/9/2019,Standard Class,AS-10240,OFF-BI-10000773,7.218,3,0.7,-5.5338,COD
189,OF-2019-149958,9/5/2019,9/9/2019,Standard Class,AS-10240,OFF-BI-10001543,43.188,4,0.7,-31.6712,Offline
190,OF-2019-149958,9/5/2019,9/9/2019,Standard Class,AS-10240,OFF-PA-10002120,131.904,3,0.2,47.8152,COD
191,OF-2019-157609,9/6/2019,9/11/2019,Second Class,KN-16705,TEC-PH-10002415,471.92,2,0.2,29.495,COD
192,OF-2019-118339,9/7/2019,9/14/2019,Standard Class,BN-11515,OFF-AP-10001154,93.78,2,0,36.5742,COD
193,OF-2019-118339,9/7/2019,9/14/2019,Standard Class,BN-11515,OFF-PA-10000466,47.18,7,0,23.59,COD
194,OF-2019-118339,9/7/2019,9/14/2019,Standard Class,BN-11515,OFF-AR-10003829,19.68,6,0,5.7072,COD
195,OF-2019-118339,9/7/2019,9/14/2019,Standard Class,BN-11515,OFF-BI-10001758,53.4,10,0,25.098,COD
196,OF-2019-118339,9/7/2019,9/14/2019,Standard Class,BN-11515,OFF-BI-10000136,35.88,6,0,17.2224,Offline
197,ON-2019-148838,9/7/2019,9/11/2019,Standard Class,CP-12340,FUR-TA-10003473,1579.746,7,0.4,-447.5947,COD
198,ON-2019-148838,9/7/2019,9/11/2019,Standard Class,CP-12340,FUR-TA-10001950,1071.576,4,0.4,-553.6476,COD
199,ON-2019-148838,9/7/2019,9/11/2019,Standard Class,CP-12340,FUR-TA-10004175,613.908,3,0.4,-122.7816,COD
200,ON-2019-148838,9/7/2019,9/11/2019,Standard Class,CP-12340,OFF-PA-10002960,34.86,7,0,16.3842,COD
201,ON-2019-148838,9/7/2019,9/11/2019,Standard Class,CP-12340,OFF-PA-10000919,155.04,4,0,75.9696,Online
202,OF-2019-158442,9/7/2019,9/7/2019,Same Day,AZ-10750,OFF-AR-10003732,4.448,2,0.2,0.3336,Offline
203,OF-2019-158442,9/7/2019,9/7/2019,Same Day,AZ-10750,OFF-PA-10002195,5.184,1,0.2,1.8792,COD
204,OF-2019-158442,9/7/2019,9/7/2019,Same Day,AZ-10750,OFF-PA-10002365,15.552,3,0.2,5.4432,COD
205,ON-2019-164763,9/7/2019,9/11/2019,Standard Class,MH-17440,OFF-BI-10000605,11.43,3,0,5.3721,Online
206,ON-2019-164763,9/7/2019,9/11/2019,Standard Class,MH-17440,OFF-BI-10000309,30.44,2,0,14.9156,COD
207,ON-2019-164763,9/7/2019,9/11/2019,Standard Class,MH-17440,OFF-PA-10003349,12.96,2,0,6.3504,COD
208,ON-2019-164763,9/7/2019,9/11/2019,Standard Class,MH-17440,OFF-PA-10003063,16,4,0,7.68,COD
209,ON-2019-164763,9/7/2019,9/11/2019,Standard Class,MH-17440,OFF-AP-10003971,32.67,3,0,8.4942,COD
210,OF-2019-127859,9/7/2019,9/10/2019,Second Class,QJ-19255,OFF-PA-10003641,126.624,6,0.2,41.1528,COD
211,OF-2019-145317,9/8/2019,9/13/2019,Standard Class,SM-20320,TEC-MA-10003626,821.3,4,0.5,-16.426,Offline
212,OF-2019-145317,9/8/2019,9/13/2019,Standard Class,SM-20320,TEC-MA-10002412,22638.48,6,0.5,-1811.0784,Offline
213,OF-2019-145317,9/8/2019,9/13/2019,Standard Class,SM-20320,OFF-PA-10001804,21.376,4,0.2,7.4816,COD
214,OF-2019-145317,9/8/2019,9/13/2019,Standard Class,SM-20320,OFF-AR-10003183,8.016,3,0.2,1.002,COD
